iter	RMSE
0	0.3389346997
1	0.333232703
2	0.3282786571
3	0.3242001232
4	0.320479658
5	0.3175798814
6	0.3150366112
7	0.3127069641
8	0.3106244916
9	0.3090022549
10	0.3074922549
11	0.3061214057
12	0.3048034026
13	0.3039293922
14	0.3030810974
15	0.302256944
16	0.3015616509
17	0.3009023388
18	0.3001521956
19	0.2998629758
20	0.2994838865
21	0.2991015695
22	0.2987352977
23	0.2982428837
24	0.2980138375
25	0.2977626084
26	0.2975044135
27	0.2971730223
28	0.2969351529
29	0.2965541492
30	0.2963443827
31	0.2960262551
32	0.2958610452
33	0.2955642415
34	0.2953838307
35	0.2952697325
36	0.2950781015
37	0.2949166416
38	0.294719612
39	0.2945788442
40	0.2944372479
41	0.2942759049
42	0.2941042423
43	0.2939548728
44	0.2938835701
45	0.293743224
46	0.2936483676
47	0.2935673069
48	0.2934775701
49	0.2934042322
50	0.2933481239
51	0.2932292295
52	0.2931820378
53	0.2930606982
54	0.2930173306
55	0.292930324
56	0.2928812027
57	0.2928674328
58	0.2927489346
59	0.2926431494
60	0.2925896287
61	0.2925536773
62	0.2924383888
63	0.2923610404
64	0.2923076278
65	0.2922241774
66	0.2921433689
67	0.2920579512
68	0.2920019771
69	0.2919473439
70	0.2919159297
71	0.2918149655
72	0.2917706138
73	0.2917315208
74	0.2916582396
75	0.2915882528
76	0.2915318219
77	0.2914738279
78	0.2914450201
79	0.2913822022
80	0.2913731433
81	0.2913224942
82	0.291272202
83	0.2912153968
84	0.2911570698
85	0.291085894
86	0.2910296924
87	0.2909868693
88	0.2909426019
89	0.2908427885
90	0.2907974433
91	0.2907559125
92	0.2907338604
93	0.2906594146
94	0.2906120517
95	0.2905522519
96	0.2904900498
97	0.290415315
98	0.2903923221
99	0.2903639267
100	0.2903485479
101	0.2903077055
102	0.2902466865
103	0.2901925662
104	0.2901439365
105	0.2901283269
106	0.2900651318
107	0.2899923071
108	0.289943607
109	0.2899032662
110	0.2898679649
111	0.2897886693
112	0.2897692456
113	0.2897299506
114	0.2896478841
115	0.2896059377
116	0.2895388984
117	0.2894724608
118	0.2894531183
119	0.2894028797
120	0.2893547854
121	0.2893105881
122	0.2892435334
123	0.2891771978
124	0.2891139058
125	0.2890732924
126	0.2890054147
127	0.2889478126
128	0.2889032171
129	0.2888501222
130	0.2887908778
131	0.2887627533
132	0.2887233681
133	0.2886712833
134	0.2886189171
135	0.2885792139
136	0.2885409483
137	0.2884936762
138	0.2884481328
139	0.2884000309
140	0.2883587979
141	0.288312049
142	0.2882729473
143	0.2882422425
144	0.2882097706
145	0.2881742917
146	0.2881356507
147	0.2881051745
148	0.2880847241
149	0.2880597104
150	0.2880109402
151	0.2879702505
152	0.2879459952
153	0.2879106125
154	0.2878756153
155	0.2878471491
156	0.2878300117
157	0.2878051577
158	0.2877814831
159	0.2877496984
160	0.2877132656
161	0.2876870028
162	0.2876658552
163	0.2876408963
164	0.2876027422
165	0.2875507522
166	0.2875353677
167	0.2875114477
168	0.2874674925
169	0.2874491593
170	0.2874105388
171	0.2873852571
172	0.2873675572
173	0.2873477041
174	0.2873212621
175	0.2872927562
176	0.2872717597
177	0.2872445651
178	0.2872193024
179	0.2872044314
180	0.2871879295
181	0.2871558585
182	0.2871312274
183	0.2871124815
184	0.2870781203
185	0.2870650556
186	0.2870311556
187	0.2870094577
188	0.2869788776
189	0.2869646163
190	0.2869352691
191	0.2869089528
192	0.2868871404
193	0.2868561025
194	0.2868347694
195	0.2868197448
196	0.2867956176
197	0.2867714882
198	0.2867479688
199	0.2867298235
200	0.2867057558
201	0.2866897513
202	0.2866795015
203	0.2866497097
204	0.2866341324
205	0.2866205826
206	0.2866095967
207	0.2865884742
208	0.2865681381
209	0.2865526834
210	0.2865340073
211	0.2865170209
212	0.2864935827
213	0.2864838903
214	0.2864697238
215	0.2864519665
216	0.2864379206
217	0.2864224015
218	0.2863906158
219	0.2863609908
220	0.286329835
221	0.28631314
222	0.2862807033
223	0.2862730005
224	0.286252509
225	0.2862370561
226	0.2862244767
227	0.286208676
228	0.2861964107
229	0.2861846013
230	0.2861659605
231	0.2861472012
232	0.286126956
233	0.2861054911
234	0.286083601
235	0.2860645946
236	0.2860500452
237	0.2860331828
238	0.2860143946
239	0.2859993476
240	0.2859831367
241	0.2859651596
242	0.2859523231
243	0.2859392072
244	0.2859119417
245	0.2858954846
246	0.2858615452
247	0.285829343
248	0.285821439
249	0.2857977889
250	0.2857785288
251	0.2857591216
252	0.2857285298
253	0.2857149773
254	0.2856997126
255	0.2856722592
256	0.2856590551
257	0.2856475163
258	0.2856311818
259	0.2856175548
260	0.2856001534
261	0.2855730519
262	0.2855564765
263	0.2855396543
264	0.2855287575
265	0.2855090239
266	0.2854996835
267	0.2854872755
268	0.2854753733
269	0.2854543406
270	0.2854448312
271	0.2854314696
272	0.2854123114
273	0.2854010824
274	0.2853881694
275	0.2853745028
276	0.2853663453
277	0.2853578942
278	0.2853474412
279	0.2853372689
280	0.2853211465
281	0.2853041773
282	0.2852950178
283	0.2852856482
284	0.2852735354
285	0.2852607518
286	0.2852487281
287	0.2852398802
288	0.2852305782
289	0.2852168276
290	0.2851999941
291	0.2851869685
292	0.2851699135
293	0.2851566006
294	0.2851442975
295	0.2851343009
296	0.2851164207
297	0.285100463
298	0.285082007
299	0.2850707524
300	0.2850599824
301	0.2850498395
302	0.2850382265
303	0.2850280711
304	0.2850099209
305	0.2849983022
306	0.2849830744
307	0.2849725239
308	0.2849578137
309	0.284947966
310	0.2849374923
311	0.2849295659
312	0.2849064912
313	0.284897243
314	0.2848887542
315	0.2848807649
316	0.2848652712
317	0.2848406103
318	0.2848241185
319	0.2848039119
320	0.2847886386
321	0.2847782421
322	0.2847672
323	0.2847522058
324	0.2847287664
325	0.2847157721
326	0.2847086169
327	0.2846948409
328	0.2846859443
329	0.284666061
330	0.2846493259
331	0.2846423918
332	0.2846226289
333	0.2846112635
334	0.2846046776
335	0.2845963598
336	0.2845891298
337	0.2845814432
338	0.2845615977
339	0.2845508265
340	0.2845401873
341	0.2845310776
342	0.2845172355
343	0.2845072288
344	0.2844864029
345	0.2844658784
346	0.2844509714
347	0.2844430535
348	0.2844352962
349	0.2844266836
350	0.2844187725
351	0.2843916289
352	0.2843800807
353	0.2843732984
354	0.2843674186
355	0.2843570524
356	0.2843474091
357	0.2843402218
358	0.2843277033
359	0.2843210432
360	0.2843083302
361	0.2842991596
362	0.2842942422
363	0.2842826267
364	0.2842703148
365	0.2842589943
366	0.2842498951
367	0.2842423622
368	0.2842334205
369	0.2842253182
370	0.284208492
371	0.2841907612
372	0.2841770767
373	0.2841566505
374	0.2841353996
375	0.2841180831
376	0.2841104482
377	0.2841035532
378	0.2840961966
379	0.284084501
380	0.2840719091
381	0.2840652157
382	0.2840544948
383	0.2840410502
384	0.2840300206
385	0.2840218377
386	0.284015996
387	0.2840063232
388	0.2839925422
389	0.283984836
390	0.283974785
391	0.2839579804
392	0.2839453605
393	0.2839377535
394	0.2839183529
395	0.28390622
396	0.2838922263
397	0.2838791307
398	0.2838703765
399	0.2838591003
400	0.2838429886
401	0.2838324251
402	0.2838228975
403	0.2838043803
404	0.2837971316
405	0.2837888555
406	0.2837786621
407	0.2837707358
408	0.2837573363
409	0.2837510865
410	0.2837257785
411	0.2837191478
412	0.283704886
413	0.2836859144
414	0.2836722453
415	0.2836583098
416	0.2836502713
417	0.2836443188
418	0.2836312285
419	0.2836154192
420	0.2835905564
421	0.2835838462
422	0.2835735075
423	0.2835607901
424	0.2835525871
425	0.2835395452
426	0.2835337684
427	0.2835306952
428	0.2835212414
429	0.2835102439
430	0.2834991375
431	0.2834891274
432	0.2834814731
433	0.2834703547
434	0.2834624282
435	0.2834580523
436	0.2834532162
437	0.283444796
438	0.2834239654
439	0.283403307
440	0.2833924002
441	0.2833812219
442	0.283375469
443	0.2833659343
444	0.2833527518
445	0.2833456119
446	0.2833359943
447	0.2833269387
448	0.2833088227
449	0.2832993332
450	0.2832923578
451	0.283281738
452	0.2832730617
453	0.2832551446
454	0.2832344454
455	0.2832263516
456	0.2832128753
457	0.2831992416
458	0.2831921096
459	0.2831822976
460	0.2831805331
461	0.2831707018
462	0.2831627317
463	0.283148081
464	0.2831350637
465	0.283130167
466	0.283123978
467	0.2831087389
468	0.2830993527
469	0.2830825736
470	0.2830762958
471	0.2830643618
472	0.2830531951
473	0.2830444528
474	0.283038966
475	0.2830244236
476	0.2830152462
477	0.2830079589
478	0.283001479
479	0.2829882467
480	0.2829819589
481	0.2829747945
482	0.2829642011
483	0.2829576867
484	0.2829448183
485	0.2829389346
486	0.2829351609
487	0.2829328837
488	0.2829221454
489	0.2829152464
490	0.2829091703
491	0.2829045358
492	0.2828902925
493	0.2828768503
494	0.2828713623
495	0.2828627783
496	0.282852739
497	0.282845617
498	0.2828377757
499	0.2828300198
500	0.2828217787
501	0.2828140156
502	0.2828024313
503	0.2827986063
504	0.2827805029
505	0.2827767513
506	0.282769707
507	0.2827635835
508	0.2827514574
509	0.2827453873
510	0.2827310601
511	0.2827217535
512	0.2827095206
513	0.2827051463
514	0.2826976998
515	0.2826906298
516	0.2826860367
517	0.2826792553
518	0.2826710197
519	0.282658379
520	0.2826464194
521	0.282642322
522	0.2826362444
523	0.2826298273
524	0.2826181058
525	0.2826133924
526	0.2826105514
527	0.2826017566
528	0.2825970573
529	0.2825873573
530	0.2825764573
531	0.2825697266
532	0.2825651981
533	0.2825572371
534	0.2825504919
535	0.2825399657
536	0.2825318705
537	0.282518641
538	0.2825091079
539	0.2825022796
540	0.2824978152
541	0.2824931141
542	0.2824857137
543	0.2824814318
544	0.2824789564
545	0.2824768206
546	0.2824683835
547	0.2824614947
548	0.2824577618
549	0.2824510153
